0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
0,0,1&2&3&4&5&6&7&8&9&10&11
1,0,1&2&3&4&5&6&7&8&9&10&11
2,0,1&2&3&4&5&6&7&8&9&10&11
3,0,1&2&3&4&5&6&7&8&9&10&11
4,0,1&2&3&4&5&6&7&8&9&10&11
5,0,1&2&3&4&5&6&7&8&9&10&11
6,0,1&2&3&4&5&6&7&8&9&10&11
7,0,1&2&3&4&5&6&7&8&9&10&11
8,0,1&2&3&4&5&6&7&8&9&10&11
9,0,1&2&3&4&5&6&7&8&9&10&11
10,0,1&2&3&4&5&6&7&8&9&10&11
11,0,1&2&3&4&5&6&7&8&9&10&11
12,0,1&2&3&4&5&6&7&8&9&10&11
13,0,1&2&3&4&5&6&7&8&9&10&11
14,0,1&2&3&4&5&6&7&8&9&10&11
15,0,1&2&3&4&5&6&7&8&9&10&11
16,0,1&2&3&4&5&6&7&8&9&10&11
17,0,1&2&3&4&5&6&7&8&9&10&11
18,0,1&2&3&4&5&6&7&8&9&10&11
19,0,1&2&3&4&5&6&7&8&9&10&11
20,0,1&2&3&4&5&6&7&8&9&10&11
21,0,1&2&3&4&5&6&7&8&9&10&11
22,0,1&2&3&4&5&6&7&8&9&10&11
23,0,1&2&3&4&5&6&7&8&9&10&11
24,0,1&2&3&4&5&6&7&8&9&10&11
25,0,1&2&3&4&5&6&7&8&9&10&11
26,0,1&2&3&4&5&6&7&8&9&10&11
27,0,1&2&3&4&5&6&7&8&9&10&11
28,0,1&2&3&4&5&6&7&8&9&10&11
29,0,1&2&3&4&5&6&7&8&9&10&11
30,0,1&2&3&4&5&6&7&8&9&10&11
31,0,1&2&3&4&5&6&7&8&9&10&11
32,0,1&2&3&4&5&6&7&8&9&10&11
33,0,1&2&3&4&5&6&7&8&9&10&11
34,0,1&2&3&4&5&6&7&8&9&10&11
35,0,1&2&3&4&5&6&7&8&9&10&11
36,0,1&2&3&4&5&6&7&8&9&10&11
37,0,1&2&3&4&5&6&7&8&9&10&11
38,0,1&2&3&4&5&6&7&8&9&10&11
39,0,1&2&3&4&5&6&7&8&9&10&11
40,0,1&2&3&4&5&6&7&8&9&10&11
41,0,1&2&3&4&5&6&7&8&9&10&11
42,0,1&2&3&4&5&6&7&8&9&10&11
43,0,1&2&3&4&5&6&7&8&9&10&11
44,0,1&2&3&4&5&6&7&8&9&10&11
45,0,1&2&3&4&5&6&7&8&9&10&11
46,0,1&2&3&4&5&6&7&8&9&10&11
47,0,1&2&3&4&5&6&7&8&9&10&11
48,0,1&2&3&4&5&6&7&8&9&10&11
49,0,1&2&3&4&5&6&7&8&9&10&11
0,2,12|13|14|15|16
1,2,12|13|14|15|16
2,2,12|13|14|15|16
3,2,12|13|14|15|16
4,2,12|13|14|15|16
5,2,12|13|14|15|16
6,2,12|13|14|15|16
7,2,12|13|14|15|16
8,2,12|13|14|15|16
9,2,12|13|14|15|16
10,2,12|13|14|15|16
11,2,12|13|14|15|16
12,2,12|13|14|15|16
13,2,12|13|14|15|16
14,2,12|13|14|15|16
15,2,12|13|14|15|16
16,2,12|13|14|15|16
17,2,12|13|14|15|16
18,2,12|13|14|15|16
19,2,12|13|14|15|16
20,2,12|13|14|15|16
21,2,12|13|14|15|16
22,2,12|13|14|15|16
23,2,12|13|14|15|16
24,2,12|13|14|15|16
25,2,12|13|14|15|16
26,2,12|13|14|15|16
27,2,12|13|14|15|16
28,2,12|13|14|15|16
29,2,12|13|14|15|16
30,2,12|13|14|15|16
31,2,12|13|14|15|16
32,2,12|13|14|15|16
33,2,12|13|14|15|16
34,2,12|13|14|15|16
35,2,12|13|14|15|16
36,2,12|13|14|15|16
37,2,12|13|14|15|16
38,2,12|13|14|15|16
39,2,12|13|14|15|16
40,2,12|13|14|15|16
41,2,12|13|14|15|16
42,2,12|13|14|15|16
43,2,12|13|14|15|16
44,2,12|13|14|15|16
45,2,12|13|14|15|16
46,2,12|13|14|15|16
47,2,12|13|14|15|16
48,2,12|13|14|15|16
49,2,12|13|14|15|16
